id,dataset,ts,time,order_type,order_side,price,qty
94,Ag(T+D)@sg,1522412945000,2018-03-30 20:29:05.000000,LIMIT,ASK,3593.0,10
95,Ag(T+D)@sg,1522412955000,2018-03-30 20:29:15.000000,LIMIT,ASK,3593.0,10
96,Ag(T+D)@sg,1522412965000,2018-03-30 20:29:25.000000,LIMIT,ASK,3593.0,10
97,Ag(T+D)@sg,1522412975000,2018-03-30 20:29:35.000000,LIMIT,ASK,3593.0,10
98,Ag(T+D)@sg,1522412985000,2018-03-30 20:29:45.000000,LIMIT,ASK,3593.0,10
99,Ag(T+D)@sg,1522412995000,2018-03-30 20:29:55.000000,LIMIT,ASK,3593.0,10
100,Ag(T+D)@sg,1522413005000,2018-03-30 20:30:05.000000,LIMIT,ASK,3593.0,10
101,Ag(T+D)@sg,1522413015000,2018-03-30 20:30:15.000000,LIMIT,ASK,3593.0,10
102,Ag(T+D)@sg,1522413025000,2018-03-30 20:30:25.000000,LIMIT,ASK,3593.0,10
103,Ag(T+D)@sg,1522413035000,2018-03-30 20:30:35.000000,LIMIT,ASK,3593.0,10
104,Ag(T+D)@sg,1522413045000,2018-03-30 20:30:45.000000,LIMIT,ASK,3593.0,10
105,Ag(T+D)@sg,1522413090000,2018-03-30 20:31:30.000000,LIMIT,BID,3591.0,10
106,Ag(T+D)@sg,1522413100000,2018-03-30 20:31:40.000000,LIMIT,BID,3592.0,10
107,Ag(T+D)@sg,1522413110000,2018-03-30 20:31:50.000000,LIMIT,BID,3592.0,10
108,Ag(T+D)@sg,1522413120000,2018-03-30 20:32:00.000000,LIMIT,BID,3592.0,10
109,Ag(T+D)@sg,1522413130000,2018-03-30 20:32:10.000000,LIMIT,BID,3592.0,10
110,Ag(T+D)@sg,1522413140000,2018-03-30 20:32:20.000000,LIMIT,BID,3592.0,10
111,Ag(T+D)@sg,1522413150000,2018-03-30 20:32:30.000000,LIMIT,BID,3592.0,10
112,Ag(T+D)@sg,1522413160000,2018-03-30 20:32:40.000000,LIMIT,BID,3592.0,10
113,Ag(T+D)@sg,1522413170000,2018-03-30 20:32:50.000000,LIMIT,BID,3593.0,10
114,Ag(T+D)@sg,1522413180000,2018-03-30 20:33:00.000000,LIMIT,BID,3593.0,10
115,Ag(T+D)@sg,1522413190000,2018-03-30 20:33:10.000000,LIMIT,BID,3593.0,10
116,Ag(T+D)@sg,1522413200000,2018-03-30 20:33:20.000000,LIMIT,BID,3593.0,10
117,Ag(T+D)@sg,1522413210000,2018-03-30 20:33:30.000000,LIMIT,BID,3593.0,10
